BREWERY,BEER,STYLE (MOSTLY RATEBEER),REGION,ABV,PACKAGE SIZE (LCBO),UNIT SIZE (ml; LCBO),CAD (LCBO),PACKAGE SIZE (Total Wine),UNIT SIZE (ml; Total Wine),"USD (Total Wine; Sacramento, CA)",UNTAPPD RATING,BEER ADVOCATE RATING (COMMUNITY),BEER ADVOCATE RATING (BROTHERS),RATEBEER RATING (Style),DATE PRICE COLLECTED (LCBO),DATE PRICE COLLECTED (Total Wine),USD:CAD (SEE DATE),SUPERORDINATE STYLE,IBU,est.calories,RATEBEER.num.ratings.Oct17,Rater1,Rater2,Brewery.Year.Founded
Amsterdam Brewing Co,Maverick & Gose,Gose,CAN,5.9,1,650,7.95,,,,3.722,86,,74,4/8/2017,4/8/2017,1.34,SOUR,14,156,43,8,8,1986
Anchor Brewing Co,Steam,California Common,USA,6,6,355,15.25,6,355,7.99,3.506,87,94,93,4/8/2017,4/8/2017,1.34,AMBER,35,147,3660,7,8,1896
Anchor Brewing Co,California Lager,Lager,USA,4.9,6,355,14.95,6,355,8.99,3.397,85,90,100,7/15/017,7/15/017,1.26,,37,147,757,5,6,1896
Anchor Brewing Co,Liberty Ale,APA,USA,5.9,6,355,15.25,6,355,9.49,3.496,88,89,95,4/8/2017,4/8/2017,1.34,PALE,47,177,2988,3,7,1896
Anderson Craft Ales,IPA,IPA,CAN,6.5,6,355,13.95,,,,3.838,,,,4/8/2017,4/8/2017,1.34,PALE,60,195,8,2,6,2005
Beau's All Natural Brewing,B-Side Kissmeyer,Nordic Pale Ale,CAN,6,1,600,6.45,,,,3.77,87,,98,4/8/2017,4/8/2017,1.34,PALE,30,168,136,7,6,2006
Bench Brewing Co,Citra Grove,Hoppy Kettle Sour,CAN,6,1,750,10.95,,,,3.91,,,39,4/8/2017,4/8/2017,1.34,SOUR,14,180,30,4,6,2016
Beyond the Pale Brewing Co,Aromatherapy,IPA,CAN,6.5,1,473,4.5,,,,4.058,90,,100,4/8/2017,4/8/2017,1.34,PALE,55,195,68,6,9,2012
Boston Beer Company,Samuel Adams Boston Lager,Vienna Lager,USA,4.8,6,355,14.45,6,355,7.99,3.43,86,90,95,4/8/2017,4/8/2017,1.34,AMBER,30,147,4205,9,7,1984
Boston Beer Company,Fresh as Helles,Helles,USA,5.4,6,355,14.15,6,355,7.99,3.463,83,,93,4/8/2017,4/8/2017,1.34,LAGER,18,162,160,2,4,1984
Boston Beer Company,Octoberfest,Märzen,USA,5.5,6,355,14.4,6,355,7.99,3.61,83,80,92,4/8/2017,4/8/2017,1.34,AMBER,16,159,2593,1,6,1984
Boston Beer Company,Samuel Adams Rebel IPA,IPA,USA,6.5,6,355,14.15,6,355,7.99,,82,,41,8/3/2016,8/3/2016,1.31,PALE,45,195,1031,8,7,1984
Boston Beer Company,Samuel Adams Summer Ale,Wheat Ale,USA,5,6,355,13.75,6,355,8.49,3.386,77,78,44,4/8/2017,4/8/2017,1.34,WHEAT,7,159,2287,7,6,1984
Boston Beer Company,Sam Adams Winter Lager,Lager,USA,5.5,6,355,14.4,6,355,8.49,3.43,82,84,68,7/15/017,7/15/017,1.26,,22,168,2586,3,6,1984
